,price,location,baths,bedrooms,Total_Area
1,165.0,G-15,6,5,2178.008
2,435.0,Bani Gala,4,4,10890.0
3,70.0,DHA Defence,3,3,2178.008
4,345.0,Ghauri Town,8,8,87120.0
5,270.0,Korang Town,8,8,5445.0
7,500.0,DHA Defence,7,7,5445.0
14,190.0,DHA Defence,3,3,2722.51
15,800.0,DHA Defence,7,7,10890.0
16,269.0,B-17,6,6,5445.0
17,550.0,G-11,7,6,3811.514
18,45.0,Bhara kahu,3,3,1361.255
21,45.0,Garden Town,4,4,12795.797
22,68.0,Koral Town,4,4,1089.004
23,200.0,Soan Garden,5,6,3267.012
25,1000.0,F-6,5,5,48460.67799999999
28,2200.0,F-7,10,10,114345.0
29,45.0,Ghauri Town,3,2,1361.255
30,125.0,I-16,5,6,2178.008
31,2300.0,E-7,4,4,136125.0
44,388.0,Emaar Canyon Views,4,5,81675.0
46,465.0,G-13,9,9,29675.359
48,140.0,F-17,6,4,1905.757
50,325.0,Korang Town,9,7,3267.012
52,300.0,Bahria Town,7,6,2722.51
53,210.0,Bahria Town,6,5,2722.51
89,140.0,G-13,5,5,1089.004
90,145.0,Ghauri Town,5,4,1905.757
91,190.0,G-11,5,5,15246.056
93,65.0,DHA Defence,3,3,2178.008
94,185.0,DHA Defence,4,3,2722.51
95,155.0,PWD Housing Scheme,5,5,2722.51
97,1050.0,F-11,10,7,5445.0
102,310.0,G-13,10,8,2722.51
104,105.0,Kuri Road,4,3,2178.008
105,145.0,G-11,3,4,11979.043999999998
106,830.0,F-11,6,6,5445.0
108,130.0,Pakistan Town,4,4,3267.012
111,90.0,Chatha Bakhtawar,4,4,1361.255
112,650.0,G-11,6,6,5445.0
115,900.0,E-11,9,9,5445.0
116,800.0,F-10,6,6,5445.0
117,850.0,F-10,6,6,5445.0
118,850.0,F-11,6,6,5445.0
120,1050.0,F-7,5,4,70785.0
138,85.0,Bani Gala,5,5,1361.255
141,130.0,G-13,4,3,1361.255
143,320.0,B-17,10,8,5445.0
144,500.0,F-8,5,4,25319.343
146,210.0,Bahria Town,6,5,2722.51
147,800.0,F-8,5,5,5445.0
150,365.0,Bahria Town,7,6,5445.0
151,235.0,Bahria Town,6,5,2722.51
152,430.0,Bahria Town,8,6,5445.0
153,230.0,Bahria Town,6,5,2722.51
154,275.0,G-11,5,5,2178.008
156,950.0,F-11,9,9,5445.0
172,725.0,Bahria Town,7,6,10890.0
174,3200.0,F-8,10,10,196020.0
175,410.0,G-11,6,6,38659.642
177,120.0,Bhara kahu,4,4,2178.008
178,550.0,Emaar Canyon Views,7,7,98010.0
179,1400.0,F-11,6,9,10890.0
180,45.0,Lehtarar Road,3,2,1361.255
181,235.0,G-11,4,4,2178.008
187,379.0,G-9,6,6,38659.642
189,130.0,E-14,5,6,2722.51
190,1650.0,F-8,6,6,10890.0
192,850.0,F-10,7,6,70785.0
196,95.0,Soan Garden,3,3,2722.51
198,480.0,Bani Gala,8,8,81675.0
199,748.0,E-11,10,10,5445.0
206,280.0,Bahria Town,6,5,2994.7609999999995
207,85.0,I-14,3,4,816.7529999999999
208,220.0,DHA Defence,4,6,2722.51
219,42.0,Tarlai,3,5,1089.004
220,350.0,G-13,6,6,29675.359
221,140.0,PWD Housing Scheme,4,4,18240.817
222,43.0,Simly Dam Road,3,2,1361.255
223,360.0,DHA Defence,7,7,4356.016
224,3500.0,E-7,8,8,103455.0
225,1500.0,F-7,7,7,98010.0
226,165.0,I-9,4,5,1633.506
227,45.0,Burma Town,3,2,1089.004
229,400.0,Emaar Canyon Views,6,5,5445.0
230,400.0,PWD Housing Scheme,6,6,5445.0
231,47.0,Lehtarar Road,5,5,1361.255
232,1800.0,F-7,8,7,70785.0
233,140.0,F-17,6,4,1905.757
234,420.0,G-13,10,9,2994.7609999999995
235,225.0,Bani Gala,4,3,5172.768999999999
236,23.0,Burma Town,3,4,816.7529999999999
238,300.0,National Police Foundation O-9,7,4,5445.0
239,675.0,Naval Anchorage,8,7,10890.0
240,48.0,Islamabad Highway,2,2,1089.004
241,500.0,CBR Town,3,4,38659.642
242,380.0,E-11,7,7,2722.51
243,52.0,Ghauri Town,4,3,816.7529999999999
244,1700.0,F-7,4,4,119790.0
245,125.0,Bani Gala,4,4,2722.51
246,465.0,DHA Defence,6,5,5445.0
248,210.0,G-10,5,4,1361.255
249,135.0,Bahria Town,4,3,1361.255
251,1700.0,F-7,4,4,114345.0
252,27.0,Jhang Syedan,3,2,1089.004
253,580.0,I-8,6,6,5445.0
254,125.0,Korang Town,5,4,1361.255
256,175.0,G-15,3,2,2178.008
257,169.0,G-10,4,3,1633.506
258,220.0,DHA Defence,5,6,2722.51
259,219.0,DHA Defence,5,6,2722.51
260,220.0,DHA Defence,5,5,2722.51
263,30.0,Bhara kahu,2,2,1089.004
264,52.0,Ghauri Town,3,2,1089.004
265,140.0,D-17,5,5,1905.757
266,35.0,Ghauri Town,2,3,1361.255
267,26.0,Arsalan Town,1,2,1089.004
268,97.0,Kashmir Highway,6,4,14973.804999999998
275,145.0,I-10,2,4,1361.255
276,130.0,B-17,6,6,19874.323
277,75.0,Soan Garden,4,3,2178.008
278,1700.0,F-7,6,6,114345.0
280,142.0,Pir Sohawa,2,2,1905.757
281,135.0,Ghauri Town,5,3,2994.7609999999995
282,197.0,Pir Sohawa,2,2,26408.347
283,256.0,Pir Sohawa,3,3,43287.909
284,43.0,DHA Defence,2,2,1361.255
285,85.0,Bani Gala,6,4,1905.757
286,115.0,B-17,6,4,2178.008
287,3500.0,F-8,9,8,27225.0
288,3500.0,F-6,10,11,234135.0
289,210.0,Bahria Town,6,5,2722.51
290,230.0,Bahria Town,6,5,2722.51
291,400.0,Bahria Town,7,6,5445.0
292,430.0,Bahria Town,7,6,5445.0
293,235.0,Bahria Town,6,5,2722.51
294,38.0,Ali Pur,2,3,1361.255
295,850.0,E-11,9,7,5445.0
296,90.0,FECHS,3,4,1361.255
297,220.0,DHA Defence,5,6,2722.51
298,1700.0,E-11,6,6,114345.0
301,1900.0,F-8,9,9,70785.0
302,140.0,Pakistan Town,5,4,1633.506
304,140.0,Pakistan Town,5,4,1633.506
305,520.0,E-11,6,6,4356.016
306,130.0,Pakistan Town,5,4,1633.506
307,63.0,Shaheen Town,3,3,11979.043999999998
317,150.0,Ghauri Town,6,5,1633.506
318,360.0,E-11,7,5,27497.351
321,210.0,Ghauri Town,7,7,2722.51
322,640.0,E-11,10,7,4900.518
327,500.0,Bani Gala,9,6,70785.0
328,550.0,DHA Defence,5,5,5445.0
329,420.0,Bahria Town,7,6,5445.0
330,380.0,Bahria Town,6,5,5445.0
331,225.0,Bahria Town,6,5,2722.51
332,53.0,Ali Pur,2,2,11434.542
333,220.0,DHA Defence,5,6,2722.51
334,25.5,Islamabad Highway,2,1,816.7529999999999
335,140.0,Bahria Town,3,3,1361.255
336,230.0,G-13,4,4,29675.359
338,215.0,E-11,7,6,1633.506
339,18.0,Bhara kahu,2,2,6806.275
340,90.0,F-17,5,4,1905.757
341,170.0,G-15,5,5,1905.757
342,155.0,Chak Shahzad,9,9,1905.757
343,140.0,H-13,6,5,20418.825
346,22.5,Lehtarar Road,2,2,816.7529999999999
348,140.0,FECHS,6,5,1905.757
389,315.0,E-11,7,6,2722.51
390,220.0,DHA Defence,5,6,2722.51
391,87.0,H-13,4,4,816.7529999999999
392,140.0,FECHS,6,5,2178.008
393,67.0,Ghauri Town,3,2,1905.757
395,415.0,Bahria Town,7,7,4356.016
396,285.0,G-14,6,5,2722.51
397,345.0,G-13,9,7,29675.359
398,250.0,Bani Gala,4,4,70785.0
400,250.0,National Police Foundation,9,6,5445.0
402,46.0,H-13,4,3,1089.004
404,375.0,Bhara kahu,5,4,10890.0
